2024-12-30 12:47:02 INFO log.py: Yasb - Yet Another Status Bar
2024-12-30 12:47:02 DEBUG __init__.py: CoInitializeEx(None, 2)
2024-12-30 12:47:03 DEBUG unknwn.py: Release <POINTER(IMMDeviceEnumerator) ptr=0x232dbdb9410 at 232dd202250>
2024-12-30 12:47:03 DEBUG win32.py: Looking up time zone info from registry
2024-12-30 12:47:03 INFO weather.py: Fetched new weather data at 2024-12-30 12:47:03.624806
2024-12-30 12:47:05 INFO weather.py: Fetched new weather data at 2024-12-30 12:47:05.859878
2024-12-30 12:47:05 INFO bar_manager.py: Starting KomorebiEventListener...
2024-12-30 12:47:05 INFO bar_manager.py: Starting SystemEventListener...
2024-12-30 12:47:06 INFO event_listener.py: Created named pipe yasb-caf79cd2-c6a3-11ef-b8b7-bc091b0e5cee
2024-12-30 12:47:06 INFO event_listener.py: Waiting for Komorebi to subscribe to named pipe yasb-caf79cd2-c6a3-11ef-b8b7-bc091b0e5cee
2024-12-30 12:47:06 INFO watcher.py: Created file watcher for path C:\Users\eivin\.config\yasb
2024-12-30 12:47:06 INFO event_listener.py: Komorebi connected to named pipe: yasb-caf79cd2-c6a3-11ef-b8b7-bc091b0e5cee
2024-12-30 12:47:06 INFO weather.py: Fetched new weather data at 2024-12-30 12:47:06.270217
2024-12-30 13:17:04 INFO weather.py: Fetched new weather data at 2024-12-30 13:17:04.171860
2024-12-30 13:17:05 INFO weather.py: Fetched new weather data at 2024-12-30 13:17:05.790831
2024-12-30 13:17:05 INFO weather.py: Fetched new weather data at 2024-12-30 13:17:05.863419
2024-12-30 13:47:03 INFO weather.py: Fetched new weather data at 2024-12-30 13:47:03.673838
2024-12-30 13:47:05 INFO weather.py: Fetched new weather data at 2024-12-30 13:47:05.812879
2024-12-30 13:47:05 INFO weather.py: Fetched new weather data at 2024-12-30 13:47:05.882707
2024-12-30 14:17:03 INFO weather.py: Fetched new weather data at 2024-12-30 14:17:03.934966
2024-12-30 14:17:05 INFO weather.py: Fetched new weather data at 2024-12-30 14:17:05.837209
2024-12-30 14:17:05 INFO weather.py: Fetched new weather data at 2024-12-30 14:17:05.881363
2024-12-30 14:47:05 INFO weather.py: Fetched new weather data at 2024-12-30 14:47:05.276080
2024-12-30 14:47:05 INFO weather.py: Fetched new weather data at 2024-12-30 14:47:05.814837
2024-12-30 14:47:05 INFO weather.py: Fetched new weather data at 2024-12-30 14:47:05.874348
2024-12-30 15:17:03 INFO weather.py: Fetched new weather data at 2024-12-30 15:17:03.623281
2024-12-30 15:17:05 INFO weather.py: Fetched new weather data at 2024-12-30 15:17:05.799982
2024-12-30 15:17:05 INFO weather.py: Fetched new weather data at 2024-12-30 15:17:05.891268
2024-12-30 15:47:03 INFO weather.py: Fetched new weather data at 2024-12-30 15:47:03.782375
2024-12-30 15:47:05 INFO weather.py: Fetched new weather data at 2024-12-30 15:47:05.801732
2024-12-30 15:47:05 INFO weather.py: Fetched new weather data at 2024-12-30 15:47:05.865747
